DRUG CODE,BRAND NAME,pack,MANUFACTURER,catg,subcatg,MRP
960846,Acnestar Face Wash 50 gm,,Mankind Pharma Pvt Ltd,,,150
987804,BILUMA ADVANCE SKIN BRIGHTENING Lotion 45gm,,Mankind Pharma Pvt Ltd,,,150
397866,Bonnisan Liquid 100ml,,Mankind Pharma Pvt Ltd,,,150
301028,Bonnisan Oral Drop 30ml,,Mankind Pharma Pvt Ltd,,,150
937127,Candid Dusting Powder 120 gm,,Mankind Pharma Pvt Ltd,,,150
937126,Candid Dusting Powder 60 gm,,Mankind Pharma Pvt Ltd,,,150
410529,Cetaphil Baby Daily Lotion 400ml,,Mankind Pharma Pvt Ltd,,,150
412634,Cetaphil Baby Massage Oil 200ml,,Mankind Pharma Pvt Ltd,,,150
909961,CETAPHIL BABY MILD Bar 75gm,,Galderma India Pvt Ltd,,,835
412635,Cetaphil Baby Shampoo 200ml,,Himalaya Drug Company,,,60
950143,CETAPHIL BABY WITH ORGANIC CALENDULA HAIR & BODY WASH & Shampoo 400ml,,Himalaya Drug Company,,,60
381943,Cetaphil Dam Lotion 100gm,,Himalaya Drug Company,,,60
382418,Cetaphil Dam Lotion 30gm,,Himalaya Drug Company,,,60
382580,Cetaphil Face & Body All Skin Types Moisturising Lotion 100ml,,Himalaya Drug Company,,,60
892184,CETAPHIL FACE & BODY ALL SKIN TYPES MOISTURISING Lotion 500ml,,Himalaya Drug Company,,,60
902811,Cetaphil Gentle Foaming For All Skin Type Cleanser 236ml,,Himalaya Drug Company,,,60
406901,Cetaphil Gentle Skin Cleanse Lotion 250ml,,Himalaya Drug Company,,,60
892334,Cetaphil Gentle Skin Cleanser For All Skin Types 500ml,,Himalaya Drug Company,,,70
814247,Cetaphil Gentle Skin Cleanser For Dry And Sensitive Skin 125ml,,Himalaya Drug Company,,,75
884699,CETAPHIL MOISTURISING Cream 250gm,,Himalaya Drug Company,,,70
382109,Cetaphil Moisturising Cream 80gm,,Himalaya Drug Company,,,70
113556,Cetaphil Moisturising FACE & BODY ALL SKIN TYPES Lotion 250ml,,Himalaya Drug Company,,,70
902810,Cetaphil New Daily Exfoliating For All Skin Type Cleanser 178ml,,Himalaya Drug Company,,,70
828337,Cetaphil Oily Skin Cleanser 125ml,,Himalaya Drug Company,,,70
382110,Cetaphil Restoraderm Skin Restoring Body Moisturizer Cream 295ml,,Glenmark Pharmaceuticals Ltd,,,145
387343,Cetaphil Restoraderm Skin Restoring Body Wash Lotion 295ml,,Glenmark Pharmaceuticals Ltd,,,145
379578,Cetaphil Syndet Bar 75gm,,Glenmark Pharmaceuticals Ltd,,,145
803748,Durex Condoms - Air 10's,,Glenmark Pharmaceuticals Ltd,,,145
822656,Durex Condoms - Air 10's,,Glenmark Pharmaceuticals Ltd,,,145
928355,Durex Condoms - Air 3's,,Glenmark Pharmaceuticals Ltd,,,145
822657,Durex Condoms - Extra Dots 10's,,Glenmark Pharmaceuticals Ltd,,,145
822659,Durex Condoms - Extra Ribbed 10's,,Glenmark Pharmaceuticals Ltd,,,145
822658,Durex Condoms - Extra Ribbed 3's,,Glenmark Pharmaceuticals Ltd,,,145
822655,Durex Condoms - Extra Thin 10's,,Glenmark Pharmaceuticals Ltd,,,145
822654,Durex Condoms - Extra Thin 3's,,Glenmark Pharmaceuticals Ltd,,,145
822661,Durex Condoms - Extra Time 10's,,Glenmark Pharmaceuticals Ltd,,,145
822660,Durex Condoms - Extra Time 3's,,Glenmark Pharmaceuticals Ltd,,,145
885468,Durex Condoms - Mutual Climax 10's,,Glenmark Pharmaceuticals Ltd,,,145
885467,Durex Condoms - Mutual Climax 3's,,Glenmark Pharmaceuticals Ltd,,,145
948713,Durex Extra Thin Condoms - Bubblegum 10's,,Glenmark Pharmaceuticals Ltd,,,145
1033617,Durex Extra Thin Condoms - Bubblegum 3's,,Glenmark Pharmaceuticals Ltd,,,145
948714,Durex Extra Thin Condoms - Intense Chocolate 10's,,Glenmark Pharmaceuticals Ltd,,,145
948712,Durex Extra Thin Condoms - Wild Strawberry 10's,,Glenmark Pharmaceuticals Ltd,,,90
936097,Durex Intimate Lube - Strawberry 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
914704,Durex Invisible Super Ultra Thin Condoms for Men 10's,,Glenmark Pharmaceuticals Ltd,,,90
914705,Durex Invisible Super Ultra Thin Condoms for Men 3's,,Glenmark Pharmaceuticals Ltd,,,90
947943,Durex Lube - Cherry 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
947944,Durex Lube - Tingling 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
938109,Durex Massage Lube - Guarana Stimulating 200 ml,,Glenmark Pharmaceuticals Ltd,,,90
938110,Durex Massage Lube - Ylang Ylang Sensual 200 ml,,Glenmark Pharmaceuticals Ltd,,,90
15140,Durex Play Intimate Lube - Sensual 200 ml,,Glenmark Pharmaceuticals Ltd,,,90
15141,Durex Play Intimate Lube - Stimulating 200 ml,,Glenmark Pharmaceuticals Ltd,,,90
409069,Durex Play Pleasure Gel - Cheeky Cherry 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
113806,Durex Play Pleasure Gel - Saucy Strawberry 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
412370,Durex Play Pleasure Gel - Tingling 50 ml,,Glenmark Pharmaceuticals Ltd,,,90
895413,Durex Sensually Flavoured Condoms - Bubblegum 10's,,Glenmark Pharmaceuticals Ltd,,,90
378016,Episoft OC Cleansing Gel 125ml,,Glenmark Pharmaceuticals Ltd,,,90
409313,Gas O Fast - Active Jeera 5 gm (Sachet),,Glenmark Pharmaceuticals Ltd,,,90
409314,Gas O Fast Active Ajwain 5 gm,,Glenmark Pharmaceuticals Ltd,,,90
902796,Gas-O-Fast Sachet - Active Jeera Flavour (Pack of 120 X 5 gm),,Glenmark Pharmaceuticals Ltd,,,90
824515,Gas-O-Fast Sachet - Active Saunf Flavour 5gm (Pack of 120 X 5 gm),,Glenmark Pharmaceuticals Ltd,,,90
363365,Himalaya Acne-n-Pimple Cream 20 gm,,Galderma India Pvt Ltd,,,770
944061,Himalaya Active Fresh Gel 80 Gm,,Galderma India Pvt Ltd,,,630
409867,Himalaya Active Fresh Gel Toothpaste 80 gm,,Galderma India Pvt Ltd,,,218
936092,Himalaya Adult Diaper (M) 10's,,Galderma India Pvt Ltd,,,685
936094,Himalaya Adult Diaper (XL) 10's,,Galderma India Pvt Ltd,,,1175
406067,Himalaya Almond & Rose Soap (Pack of 4 x 125 gm),,Galderma India Pvt Ltd,,,518
1030019,Himalaya Althea Lotion 100 ml,,Galderma India Pvt Ltd,,,210
904565,Himalaya Anti Hair Fall Conditioner - Palasha & Bringaraja 100 ml,,Galderma India Pvt Ltd,,,486
944094,Himalaya Anti Hair Fall Hair Oil 200 Ml,,Galderma India Pvt Ltd,,,1300
362147,Himalaya Anti Hair Loss Cream 100 ml,,Galderma India Pvt Ltd,,,950
408755,Himalaya Anti-Dandruff Hair Cream 100 ml,,Galderma India Pvt Ltd,,,563
890086,Himalaya Anti-Dandruff Shampoo with Tea Tree Oil 80 ml,,Galderma India Pvt Ltd,,,1195
407956,Himalaya AyurSlim Capsule (Pack of 3 x 60's),,Galderma India Pvt Ltd,,,333
363406,Himalaya AyurSlim Capsule 60's,,Galderma India Pvt Ltd,,,1015
15515,Himalaya Baby care - Gift Pack  (Set of 7),,Galderma India Pvt Ltd,,,508
824018,Himalaya Baby care - Gift Pack Basket (Set of 9),,Galderma India Pvt Ltd,,,965
824021,Himalaya Baby care - Gift Pack Window (Set of 5),,Galderma India Pvt Ltd,,,850
406911,Himalaya Baby Cream 100 ml,,Galderma India Pvt Ltd,,,545
943466,Himalaya Baby Cream 50 Ml,,Galderma India Pvt Ltd,,,2140
15502,Himalaya Baby Cream Extra Soft & Gentle 100 ml,,Galderma India Pvt Ltd,,,1530
406912,Himalaya Baby Cream Extra Soft & Gentle 200 ml,,Galderma India Pvt Ltd,,,210
15501,Himalaya Baby Cream Extra Soft & Gentle 50 ml,,Reckitt Benckiser India Pvt Ltd,,,245
824030,Himalaya Baby Diapers (M) 54's,,Reckitt Benckiser India Pvt Ltd,,,245
824027,Himalaya Baby Diapers (S) 54's,,Reckitt Benckiser India Pvt Ltd,,,245
824025,Himalaya Baby Gift Pack -JAR,,Reckitt Benckiser India Pvt Ltd,,,245
15503,Himalaya Baby Lotion 100 ml,,Reckitt Benckiser India Pvt Ltd,,,245
15504,Himalaya Baby Lotion 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
406910,Himalaya Baby Lotion 400 ml,,Reckitt Benckiser India Pvt Ltd,,,82
15506,Himalaya Baby Massage Oil 100 ml,,Reckitt Benckiser India Pvt Ltd,,,245
406903,HIMALAYA BABY MASSAGE OIL 50ML,,Reckitt Benckiser India Pvt Ltd,,,245
15507,Himalaya Baby Powder 100 gm,,Reckitt Benckiser India Pvt Ltd,,,245
15509,Himalaya Baby Powder 200 gm,,Reckitt Benckiser India Pvt Ltd,,,245
15508,Himalaya Baby Powder 400 gm,,Reckitt Benckiser India Pvt Ltd,,,245
15510,Himalaya Baby Powder 50 gm,,Reckitt Benckiser India Pvt Ltd,,,245
397865,Himalaya Bonnisan Liquid 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
958712,Himalaya Clarina Anti-Acne Face Wash 60 ml,,Reckitt Benckiser India Pvt Ltd,,,245
406078,Himalaya Clear Complexion Brightening Day Cream - Licorice & Spiked Ginger Lilly 50 gm,,Reckitt Benckiser India Pvt Ltd,,,245
1030579,Himalaya Cystone Forte Tablet 30's,,Reckitt Benckiser India Pvt Ltd,,,245
15516,Himalaya Diaper Rash Cream 20 gm,,Reckitt Benckiser India Pvt Ltd,,,245
380034,Himalaya Evecare Capsule 30's,,Reckitt Benckiser India Pvt Ltd,,,245
828001,Himalaya Evecare Forte Liquid 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
923268,Himalaya Evecare Syrup 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
382040,Himalaya Evecare Syrup 400 ml,,Reckitt Benckiser India Pvt Ltd,,,245
992628,Himalaya Flora sante Capsule 20's,,Reckitt Benckiser India Pvt Ltd,,,245
331496,Himalaya Gasex Syrup - Elaichi Flavour 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
407080,Himalaya Gasex Syrup - Ginger Lemon Flavour 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
331497,Himalaya Gasex Tablet 100's,,Reckitt Benckiser India Pvt Ltd,,,82
368360,Himalaya Gentle Baby Shampoo 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
15512,Himalaya Gentle Baby Shampoo 200 ml,,Reckitt Benckiser India Pvt Ltd,,,82
406902,Himalaya Gentle Baby Soap 125 gm,,Reckitt Benckiser India Pvt Ltd,,,82
824016,Himalaya Gentle Baby Wipes (Pack of 2 x 72's),,Reckitt Benckiser India Pvt Ltd,,,245
943482,Himalaya Gentle Baby Wipes 72'S 72'S,,Reckitt Benckiser India Pvt Ltd,,,245
15513,Himalaya Gentle Baby Wipes for Normal Skin - Extra Soft 24's,,Reckitt Benckiser India Pvt Ltd,,,245
366524,Himalaya Gentle Baby Wipes for Normal Skin - Extra Soft 72's,,Reckitt Benckiser India Pvt Ltd,,,245
406906,Himalaya Gentle Extra Soft Baby Wipes - Normal skin 12's,,Reckitt Benckiser India Pvt Ltd,,,245
802918,Himalaya Gokshura Tablet 60's,,Reckitt Benckiser India Pvt Ltd,,,245
921701,Himalaya Gokshura Tribulus Tablets 60's,,Reckitt Benckiser India Pvt Ltd,,,245
360399,Himalaya Hairzone Solution 60 ml,,Reckitt Benckiser India Pvt Ltd,,,245
1072198,Himalaya Healthy Puppy Pet Food- Chicken & Rice 1200 gm,,Reckitt Benckiser India Pvt Ltd,,,245
407395,Himalaya Herbals Complete Care Toothpaste 150 gm,,Reckitt Benckiser India Pvt Ltd,,,245
349916,Himalaya Himcocid-SF Suspension - Mint Flavour 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
1030527,Himalaya Hiora - K Toothpaste 100 gm,,Reckitt Benckiser India Pvt Ltd,,,245
14587,Himalaya Honey & Cream Soap 125 gm,,Reckitt Benckiser India Pvt Ltd,,,245
405481,Himalaya Honey & Cream Soap 75 gm,,Reckitt Benckiser India Pvt Ltd,,,245
406081,Himalaya Intensive Body Lotion - Cocoa Butter 200 ml,,Reckitt Benckiser India Pvt Ltd,,,245
364988,Himalaya Koflet H Lozenges - Ginger Flavour 6's,,Reckitt Benckiser India Pvt Ltd,,,245
899839,Himalaya Koflet H Lozenges - Orange Flavour 6's,,Reckitt Benckiser India Pvt Ltd,,,245
364238,Himalaya Koflet Lozenges 10's,,Reckitt Benckiser India Pvt Ltd,,,245
903512,Himalaya Koflet Lozenges 200's,,Reckitt Benckiser India Pvt Ltd,,,245
365777,Himalaya Koflet Syrup 100 ml,,Reckitt Benckiser India Pvt Ltd,,,245
14139,Himalaya Koflet-SF Linctus 100 ml,,Reckitt Benckiser India Pvt Ltd,,,245
907270,Himalaya Koflet-SF Lozenges - Orange Flavour 6's,,Reckitt Benckiser India Pvt Ltd,,,245
840208,Himalaya Lasuna Tablet 60's,,Reckitt Benckiser India Pvt Ltd,,,82
14207,Himalaya Lip Balm 10 gm,,Reckitt Benckiser India Pvt Ltd,,,82
406137,Himalaya Men Pimple Clear Neem Face Wash 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
412165,Himalaya Men Power Glow Licorice Face Wash 50 ml,,Reckitt Benckiser India Pvt Ltd,,,82
840209,Himalaya Meshashringi Tablet 60's,,Reckitt Benckiser India Pvt Ltd,,,82
405579,Himalaya Natural Glow Kesar Face Cream 25 gm,,Reckitt Benckiser India Pvt Ltd,,,82
13112,Himalaya Natural Glow Kesar Face Cream 50 gm,,Reckitt Benckiser India Pvt Ltd,,,82
405781,Himalaya Nourishing Baby Soap 125 gm,,Reckitt Benckiser India Pvt Ltd,,,82
15521,Himalaya Nourishing Baby Soap 75 gm,,Reckitt Benckiser India Pvt Ltd,,,82
406963,Himalaya Nourishing Skin Cream - Winter Cherry & Aloe Vera 200 ml,,Reckitt Benckiser India Pvt Ltd,,,82
14208,Himalaya Nourishing Skin Cream - Winter Cherry & Aloe Vera 50 ml,,Reckitt Benckiser India Pvt Ltd,,,82
400707,Himalaya Ophthacare Eye Drops 10 ml,,Reckitt Benckiser India Pvt Ltd,,,82
1057715,Himalaya Oro-T Oral Rinse Liquid 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
405492,Himalaya Pain Balm Strong - Mint 10 gm,,Reckitt Benckiser India Pvt Ltd,,,82
364589,Himalaya Pain Relief Oil 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
914973,Himalaya Pilex forte Ointment 30 gm,,Reckitt Benckiser India Pvt Ltd,,,82
1059330,Himalaya Pilex Forte Tablet 30's,,Reckitt Benckiser India Pvt Ltd,,,82
1026718,Himalaya Platenza Syrup 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
1026720,Himalaya Platenza Tablet (Pack of 3 x 20's),,Reckitt Benckiser India Pvt Ltd,,,82
1060737,Himalaya Platenza Tablet 20's,,Reckitt Benckiser India Pvt Ltd,,,82
407394,Himalaya Protein Hair Cream - Extra Nourishment 100 ml,,Reckitt Benckiser India Pvt Ltd,,,82
915432,Himalaya PureHands Advanced Disinfectant Hand Rub 500 ml,,Reckitt Benckiser India Pvt Ltd,,,82
903248,Himalaya Purifying Neem Face Wash 15 ml,,Reckitt Benckiser India Pvt Ltd,,,245
962273,Himalaya Q-DEE Acidity Tablet 8's,,Reckitt Benckiser India Pvt Ltd,,,245
962274,Himalaya Q-DEE Cramps Tablet 8's,,Reckitt Benckiser India Pvt Ltd,,,245
962275,Himalaya Q-DEE Immunity Tablet 8's,,Reckitt Benckiser India Pvt Ltd,,,245
962272,Himalaya Q-DEE Nausea Tablet 8's,,Reckitt Benckiser India Pvt Ltd,,,245
962270,Himalaya Quista Active Powder - Milk Masala Flavor 200 gm,,Reckitt Benckiser India Pvt Ltd,,,245
914055,Himalaya Quista DN Powder - Milk Masala Flavour 400 gm,,Reckitt Benckiser India Pvt Ltd,,,245
914054,Himalaya Quista DN Powder - Vanilla Flavour 400 gm,,Reckitt Benckiser India Pvt Ltd,,,245
885098,Himalaya Quista kidz Powder - Chocolate Flavour 200 gm,,Reckitt Benckiser India Pvt Ltd,,,245
885097,Himalaya Quista kidz Powder - Vanilla Flavour 200 gm,,Reckitt Benckiser India Pvt Ltd,,,245
840202,Himalaya Quista Pro 100% Whey Protein Powder - Chocolate Flavour 1 kg,,Reckitt Benckiser India Pvt Ltd,,,245
15522,Himalaya Refreshing Baby Soap 125 gm,,Reckitt Benckiser India Pvt Ltd,,,245
14126,Himalaya Reosto Tablet 60's,,Reckitt Benckiser India Pvt Ltd,,,245
408131,Himalaya Sensitive Toothpaste 80 gm,,Reckitt Benckiser India Pvt Ltd,,,245
